brand,model,year,price,currency,pub_date,title,url
Sargo,31,2021,310000.0,GBP,2021-05-18,"£310,000 Yacht Tour : Sargo 31",https://www.youtube.com/watch?v=O_S861gVhmc
Nordhavn,46,1997,350000.0,GBP,2021-05-14,"£350,000 Yacht Tour : 1997 Nordhavn 46",https://www.youtube.com/watch?v=5gOcJODhhyw
Nordhavn,N41,2021,900000.0,USD,2021-04-09,"$900,000 Yacht Tour : Nordhavn N41",https://www.youtube.com/watch?v=B_X_9xixSho
Axopar,28 Cabin Brabus Line,2021,121000.0,GBP,2021-05-11,"£121,000 Yacht Tour : Axopar 28 Cabin Brabus Line",https://www.youtube.com/watch?v=s1NohmZOAAA
Beneteau,Swift Trawler 35,2021,290000.0,GBP,2021-05-09,"£290,000 Yacht Tour : Beneteau Swift Trawler 35",https://www.youtube.com/watch?v=rJoDhfBrAW0
Beneteau,Oceanis 54 Yacht,2021,600000.0,GBP,2021-04-23,£600K Yacht Tour : Beneteau Oceanis 54 Yacht,https://www.youtube.com/watch?v=wR8jVW5orBY
Grandezza,34OC,2019,250000.0,GBP,2021-04-20,"£250,000 Yacht Tour : 2019 Grandezza 34OC",https://www.youtube.com/watch?v=EiPVBOR-hfw
Nordstar,28 Patrol,2018,170000.0,GBP,2021-05-04,"£170,000 Yacht Tour : 2018 Nordstar 28 Patrol",https://www.youtube.com/watch?v=M59OaCqKKWA
Fairline,Phantom 48,2007,310000.0,GBP,2021-04-13,"£310,000 Yacht Tour : 2007 Fairline Phantom 48",https://www.youtube.com/watch?v=vDpoeranGWs
Discovery,58,2015,1100000.0,GBP,2021-02-28,£1.1 Million Yacht Tour : 2015 Discovery 58,https://www.youtube.com/watch?v=G0QrLtfhc34
Cranchi,E26 Rider,2021,99000.0,GBP,2021-03-28,"£99,000 Yacht Tour : Cranchi E26 Rider",https://www.youtube.com/watch?v=Bz_iKahJzuA
Fairline,Squadron 42,2015,400000.0,GBP,2021-04-02,"£400,000 Yacht Tour : 2015 Fairline Squadron 42",https://www.youtube.com/watch?v=-Pgrk4f2TeY
Sunseeker,Portofino 35,2006,145000.0,GBP,2021-03-19,"£145,000 Yacht Tour : 2006 Sunseeker Portofino 35",https://www.youtube.com/watch?v=KjhybwH53oI
Windy,Zonda,2018,230000.0,GBP,2021-04-06,"£230,000 Yacht Tour : 2018 Windy Zonda",https://www.youtube.com/watch?v=yes4IcL0oBE
Aqualine,Canterbury 68x12 Widebeam,2021,185000.0,GBP,2021-03-02,"£185,000 Canal Boat Tour : Aqualine Canterbury 68x12 Widebeam",https://www.youtube.com/watch?v=KbgUsOIisp0
Aquastar,430 Aft Cabin,2017,510000.0,GBP,2021-03-23,"£510,000 Yacht Tour : 2017 Aquastar 430 Aft Cabin",https://www.youtube.com/watch?v=zqqgkbCiSUo
English,Harbour 29,2021,180000.0,GBP,2021-03-21,"£180,000 Yacht Tour : English Harbour 29",https://www.youtube.com/watch?v=NO_l5p1ujhg
Princess,V48 Open,2017,695000.0,GBP,2021-03-16,"£695,000 Yacht Tour : 2017 Princess V48 Open",https://www.youtube.com/watch?v=eOcVNEu8cgM
Bavaria,C42,2021,162000.0,GBP,2021-03-14,"£162,000 Yacht Tour : Bavaria C42",https://www.youtube.com/watch?v=Zqt0yr_CAao
Botnia,Targa 32,2021,295000.0,GBP,2021-02-07,"£295,000 Yacht Tour : Botnia Targa 32",https://www.youtube.com/watch?v=ag0oEhAo960
Marex,310SC,2021,185000.0,GBP,2021-03-12,"£185,000 Yacht Tour : Marex 310SC",https://www.youtube.com/watch?v=MpkDG4wbAro
Windy,39 Camira,2015,345000.0,GBP,2021-02-26,"£345,000 Yacht Tour : 2015 Windy 39 Camira",https://www.youtube.com/watch?v=RxR8aO54jKI
Doral,Alegria,2005,160000.0,GBP,2021-03-09,"£160,000 Yacht Tour : 2005 Doral Alegria",https://www.youtube.com/watch?v=jPnMLJIQAzw
,,,,Not available,2020-12-29,2020 Superyacht &amp; Yacht TOP TEN,https://www.youtube.com/watch?v=UJct2m18Y20
,,,,Not available,2020-12-25,AQUAHOLIC 2020!!,https://www.youtube.com/watch?v=HG8sX6CehIg
Broom,370,2015,220000.0,GBP,2021-02-23,"£220,000 Yacht Tour : 2015 Broom 370",https://www.youtube.com/watch?v=sNX3MVmRsZA
Beneteau,Oceanis 38.1,2021,187000.0,GBP,2021-02-19,"£187,000 Yacht Tour : Beneteau Oceanis 38.1",https://www.youtube.com/watch?v=5apgvcQs4OE
Beneteau,Antares 12,2007,156000.0,GBP,2021-02-16,"£156,000 Yacht Tour : 2007 Beneteau Antares 12",https://www.youtube.com/watch?v=NLXSR03PBIU
Sealine,SC35,2012,168000.0,GBP,2021-02-14,"£168,000 Yacht Tour : 2012 Sealine SC35",https://www.youtube.com/watch?v=T834NxCp-RI
Parker,920 Explorer,2021,126000.0,GBP,2021-02-09,"£126,000 Yacht tour : Parker 920 Explorer",https://www.youtube.com/watch?v=JWakTuFlQmI
